学号,类别,名称,补充说明,获奖情况,人员次序,获得日期,结题时间,认定学分,状态,审核人,审核意见
202300005,其他实践活动,汽车工程学院企业行,学科冬夏令营·校级,,,2026-03-03,,0.5,通过,李文静,材料齐全，同意认定
202300006,前沿学术报告,名家学术讲座,单场·汽车轻量化设计与新材料应用,,,2024-03-19,,0.5,通过,李文静,材料齐全，同意认定
202300006,年度创新创业项目,校级·一般成员,新能源汽车电池热管理优化研究,,一般成员,2024-03-26,2026-06-30,1.0,待审核,,
202300006,科技创新竞赛,校智能车校内选拔赛,,校级·一等奖,第三完成人,2024-04-20,,0.5,通过,李文静,材料齐全，同意认定
202300006,创业实践,校园二手书流转平台,注册成立公司·法人代表,,法人代表,2025-07-12,,6.0,待审核,,
202300006,学术论文,基于YOLO的车距保持辅助算法研究,普通期刊·第二作者,,第二作者,2025-05-06,,1.0,待审核,,
202300006,申请专利,一种基于视觉的后视镜盲区监测装置,发明专利·第一发明人,,第一发明人,2026-05-22,,6.0,通过,李文静,材料齐全，同意认定
202300006,其他实践活动,汽车工程学院企业行,学术交流访问·出境交流,,,2025-12-23,,2.0,待审核,,
202300007,前沿学术报告,汽车百家讲坛,第1-5期·动力电池热管理关键技术,,,2024-07-25,,0.25,通过,李文静,符合认定条件，通过
202300007,年度创新创业项目,国家级·负责人,车载OBD数据采集与驾驶行为分析,,负责人,2025-01-28,2026-06-30,6.0,通过,李文静,符合认定条件，通过
202300007,科技创新竞赛,挑战杯全国大学生课外学术科技作品竞赛,,国家级·二等奖,第三完成人,2024-04-07,,2.0,通过,李文静,符合认定条件，通过
202300007,创业实践,校园二手书流转平台,入驻孵化器·团队成员,,团队成员,2026-07-20,,2.0,通过,李文静,佐证材料完整，予以通过
202300007,学术论文,电动汽车无线充电耦合机构优化设计,普通期刊·第一作者,,第一作者,2026-05-12,,2.0,待审核,,
202300007,申请专利,一种可调节角度的车载平板支架,实用新型专利·第一发明人,,第一发明人,2026-05-10,,3.0,待审核,,
202300007,其他实践活动,汽车造型设计工作坊,学科冬夏令营·省级,,,2025-12-11,,1.0,通过,李文静,佐证材料完整，予以通过
202300008,前沿学术报告,名家学术讲座,单场·智能网联汽车技术前沿,,,2024-06-07,,0.5,通过,李文静,材料齐全，同意认定
202300008,年度创新创业项目,省级·核心成员,太阳能小车能量管理策略研究,,核心成员,2025-07-06,2026-06-30,3.0,通过,李文静,符合认定条件，通过
202300008,科技创新竞赛,全国大学生节能减排社会实践与科技竞赛,,省级·二等奖,负责人,2024-06-25,,2.0,待审核,,
202300008,创业实践,二手车检测陪购服务工作室,注册成立公司·合伙人,,合伙人,2026-06-24,,4.0,通过,李文静,佐证材料完整，予以通过
202300008,学术论文,基于YOLO的车距保持辅助算法研究,核心期刊·第一作者,,第一作者,2026-08-07,,4.0,通过,李文静,材料齐全，同意认定
202300008,申请专利,一种基于视觉的后视镜盲区监测装置,实用新型专利·其他发明人,,其他发明人,2025-08-19,,1.5,通过,李文静,符合认定条件，通过
202300008,其他实践活动,德国亚琛工业大学线上交流项目,学科冬夏令营·校级,,,2026-08-17,,0.5,通过,李文静,符合认定条件，通过
202300009,前沿学术报告,汽车百家讲坛,第1-5期·汽车空气动力学优化设计,,,2025-10-09,,0.25,公示中,李文静,符合认定条件，通过
202300009,年度创新创业项目,院级·一般成员,基于STM32的智能循迹小车,,一般成员,2025-09-08,2026-06-30,0.5,通过,李文静,佐证材料完整，予以通过
202300009,科技创新竞赛,全国大学生智能汽车竞赛,,省级·二等奖,第二完成人,2025-12-28,,1.4,通过,李文静,佐证材料完整，予以通过
202300009,创业实践,校园二手书流转平台,入驻孵化器·负责人,,负责人,2025-07-13,,4.0,通过,李文静,材料齐全，同意认定
202300009,学术论文,混合动力汽车能量管理策略仿真,国际/国内会议·其他作者,,其他作者,2026-07-09,,1.0,通过,李文静,符合认定条件，通过
202300009,申请专利,一种可调节角度的车载平板支架,实用新型专利·第一发明人,,第一发明人,2026-01-23,,3.0,待审核,,
202300009,其他实践活动,汽车造型设计工作坊,学科冬夏令营·国家级,,,2026-04-17,,2.0,通过,李文静,符合认定条件，通过
202300010,前沿学术报告,汽车百家讲坛,第6-10期·车载总线与嵌入式系统开发,,,2024-10-04,,0.25,通过,李文静,材料齐全，同意认定
202300010,年度创新创业项目,国家级·一般成员,基于STM32的智能循迹小车,,一般成员,2024-06-09,2026-06-30,2.0,通过,李文静,符合认定条件，通过
202300010,科技创新竞赛,校智能车校内选拔赛,,校级·三等奖,第二完成人,2025-12-08,,0.35,待审核,,
202300010,创业实践,大学生汽车文创工作室,创业训练计划·团队成员,,团队成员,2025-01-15,,1.5,通过,李文静,符合认定条件，通过
202300010,学术论文,基于深度学习的路面裂缝检测方法研究,普通期刊·第一作者,,第一作者,2025-02-01,,2.0,通过,李文静,材料齐全，同意认定
202300010,申请专利,一种电动汽车电池包液冷结构,外观设计专利·其他发明人,,其他发明人,2026-01-03,,1.0,通过,李文静,佐证材料完整，予以通过
202300010,其他实践活动,暑期高校科学营活动,学科冬夏令营·国家级,,,2026-03-12,,2.0,通过,李文静,材料齐全，同意认定
202300011,前沿学术报告,名家学术讲座,单场·汽车空气动力学优化设计,,,2024-02-08,,0.5,通过,李文静,材料齐全，同意认定
202300011,年度创新创业项目,国家级·负责人,车载OBD数据采集与驾驶行为分析,,负责人,2024-04-22,2026-06-30,6.0,通过,李文静,符合认定条件，通过
202300011,科技创新竞赛,全国大学生机械创新设计大赛,,省级·二等奖,第一完成人,2025-06-14,,2.0,通过,李文静,材料齐全，同意认定
202300011,创业实践,大学生汽车文创工作室,注册成立公司·合伙人,,合伙人,2026-06-10,,4.0,通过,李文静,符合认定条件，通过
202300011,学术论文,低温环境下锂电池充放电特性研究,国际/国内会议·其他作者,,其他作者,2026-06-08,,1.0,通过,李文静,符合认定条件，通过
202300011,申请专利,一种基于视觉的后视镜盲区监测装置,实用新型专利·其他发明人,,其他发明人,2026-01-18,,1.5,通过,李文静,佐证材料完整，予以通过
202300011,其他实践活动,全国大学生汽车科技夏令营,学科冬夏令营·省级,,,2025-03-01,,1.0,通过,李文静,佐证材料完整，予以通过
202300012,前沿学术报告,汽车百家讲坛,第11期以后·汽车芯片与域控制器架构,,,2026-04-20,,0.25,通过,李文静,符合认定条件，通过
202300012,年度创新创业项目,省级·负责人,新能源汽车电池热管理优化研究,,负责人,2025-06-10,2026-06-30,4.0,通过,李文静,材料齐全，同意认定
202300012,科技创新竞赛,全国大学生智能汽车竞赛,,国家级·二等奖,核心成员,2024-08-06,,2.4,通过,李文静,佐证材料完整，予以通过
202300012,创业实践,大学生汽车文创工作室,创业训练计划·团队成员,,团队成员,2026-01-27,,1.5,通过,李文静,符合认定条件，通过
202300012,学术论文,电动汽车无线充电耦合机构优化设计,普通期刊·第一作者,,第一作者,2026-08-17,,2.0,通过,李文静,佐证材料完整，予以通过
202300012,申请专利,一种车载智能空气净化装置,实用新型专利·第一发明人,,第一发明人,2026-07-21,,3.0,通过,李文静,材料齐全，同意认定
202300012,其他实践活动,暑期高校科学营活动,学科冬夏令营·国家级,,,2026-08-22,,2.0,通过,李文静,符合认定条件，通过
202300013,前沿学术报告,汽车百家讲坛,第1-5期·无人驾驶环境感知技术进展,,,2024-09-26,,0.25,通过,李文静,材料齐全，同意认定
202300013,年度创新创业项目,国家级·核心成员,汽车内饰件轻量化设计,,核心成员,2024-09-25,2026-06-30,4.0,通过,李文静,佐证材料完整，予以通过
202300013,科技创新竞赛,中国大学生方程式汽车大赛,,国家级·三等奖,第二完成人,2024-05-14,,1.4,通过,李文静,符合认定条件，通过
202300013,创业实践,校园二手书流转平台,创业训练计划·负责人,,负责人,2025-06-01,,3.0,通过,李文静,符合认定条件，通过
202300013,学术论文,基于深度学习的路面裂缝检测方法研究,国际/国内会议·其他作者,,其他作者,2025-09-12,,1.0,通过,李文静,符合认定条件，通过
202300013,申请专利,一种电动汽车电池包液冷结构,实用新型专利·其他发明人,,其他发明人,2025-06-24,,1.5,通过,李文静,材料齐全，同意认定
202300013,其他实践活动,智能驾驶技术专题培训,学科冬夏令营·国家级,,,2026-04-10,,2.0,通过,李文静,材料齐全，同意认定
202300014,前沿学术报告,信息科学论坛,第6期以后·车载总线与嵌入式系统开发,,,2024-08-02,,0.25,通过,李文静,材料齐全，同意认定
202300014,年度创新创业项目,省级·核心成员,校园共享电动车调度优化研究,,核心成员,2025-02-08,2026-06-30,3.0,通过,李文静,符合认定条件，通过
202300014,科技创新竞赛,山东省大学生机电产品创新设计竞赛,,校级·二等奖,第三完成人,2026-05-11,,0.25,待院长审批,李文静,初审通过，转院长审批
202300014,创业实践,新能源汽车科普工作室,入驻孵化器·团队成员,,团队成员,2025-11-22,,2.0,待审核,,
202300014,学术论文,汽车主动悬架半主动控制策略仿真,普通期刊·其他作者,,其他作者,2026-05-18,,0.5,通过,李文静,佐证材料完整，予以通过
202300014,申请专利,一种基于视觉的后视镜盲区监测装置,外观设计专利·其他发明人,,其他发明人,2025-05-23,,1.0,通过,李文静,符合认定条件，通过
202300014,其他实践活动,汽车工程学院企业行,学科冬夏令营·校级,,,2024-06-27,,0.5,通过,李文静,材料齐全，同意认定
202300015,前沿学术报告,汽车百家讲坛,第11期以后·汽车芯片与域控制器架构,,,2026-05-05,,0.25,通过,李文静,佐证材料完整，予以通过
202300015,年度创新创业项目,省级·负责人,基于机器视觉的行人过街检测系统,,负责人,2024-04-22,2026-06-30,4.0,通过,李文静,佐证材料完整，予以通过
202300015,科技创新竞赛,全国大学生智能汽车竞赛,,国家级·一等奖,第二完成人,2024-01-12,,4.2,通过,李文静,符合认定条件，通过
202300015,创业实践,新能源汽车科普工作室,创业训练计划·负责人,,负责人,2026-06-02,,3.0,通过,李文静,符合认定条件，通过
202300015,学术论文,低温环境下锂电池充放电特性研究,国际/国内会议·第二作者,,第二作者,2025-11-22,,2.0,通过,李文静,佐证材料完整，予以通过
202300015,申请专利,一种可调节角度的车载平板支架,实用新型专利·第一发明人,,第一发明人,2026-05-04,,3.0,通过,李文静,符合认定条件，通过
202300015,其他实践活动,全国大学生汽车科技夏令营,学科冬夏令营·国家级,,,2026-03-27,,2.0,通过,李文静,佐证材料完整，予以通过
202300016,前沿学术报告,汽车百家讲坛,第11期以后·汽车轻量化设计与新材料应用,,,2026-01-26,,0.25,通过,李文静,材料齐全，同意认定
202300016,年度创新创业项目,校级·核心成员,车载OBD数据采集与驾驶行为分析,,核心成员,2024-09-09,2026-06-30,1.5,通过,李文静,符合认定条件，通过
202300016,科技创新竞赛,山东省大学生机电产品创新设计竞赛,,省级·二等奖,核心成员,2025-02-09,,1.2,待审核,,
202300016,创业实践,校园二手书流转平台,入驻孵化器·团队成员,,团队成员,2026-06-17,,2.0,通过,李文静,佐证材料完整，予以通过
202300016,学术论文,基于YOLO的车距保持辅助算法研究,核心期刊·第一作者,,第一作者,2026-04-14,,4.0,通过,李文静,材料齐全，同意认定
202300016,申请专利,一种电动汽车电池包液冷结构,实用新型专利·第一发明人,,第一发明人,2025-06-25,,3.0,公示中,李文静,材料齐全，同意认定
202300016,其他实践活动,汽车工程学院企业行,学术交流访问·出境交流,,,2025-08-22,,2.0,通过,李文静,佐证材料完整，予以通过
202300017,前沿学术报告,汽车百家讲坛,第6-10期·智能网联汽车技术前沿,,,2024-11-06,,0.25,通过,李文静,材料齐全，同意认定
202300017,年度创新创业项目,省级·一般成员,智能导览机器人设计与实现,,一般成员,2025-09-21,2026-06-30,1.5,通过,李文静,佐证材料完整，予以通过
202300017,科技创新竞赛,全国大学生机械创新设计大赛,,国家级·一等奖,负责人,2026-05-03,,6.0,通过,李文静,佐证材料完整，予以通过
202300017,创业实践,大学生汽车文创工作室,创业训练计划·团队成员,,团队成员,2025-08-17,,1.5,待院长审批,李文静,初审通过，转院长审批
202300017,学术论文,基于深度学习的路面裂缝检测方法研究,核心期刊·其他作者,,其他作者,2025-06-26,,1.0,通过,李文静,材料齐全，同意认定
202300017,申请专利,一种多功能汽车后备箱收纳架,外观设计专利·第一发明人,,第一发明人,2026-03-02,,2.0,通过,李文静,符合认定条件，通过
202300017,其他实践活动,暑期高校科学营活动,学科冬夏令营·校级,,,2025-12-23,,0.5,待审核,,
202300018,前沿学术报告,汽车百家讲坛,第11期以后·汽车轻量化设计与新材料应用,,,2025-06-05,,0.25,通过,李文静,材料齐全，同意认定
202300018,年度创新创业项目,省级·核心成员,基于机器视觉的行人过街检测系统,,核心成员,2025-01-04,2026-06-30,3.0,通过,李文静,佐证材料完整，予以通过
202300018,科技创新竞赛,校智能车校内选拔赛,,校级·一等奖,第三完成人,2026-01-05,,0.5,通过,李文静,符合认定条件，通过
202300018,创业实践,校内共享打印服务站,入驻孵化器·团队成员,,团队成员,2026-08-22,,2.0,通过,李文静,符合认定条件，通过
202300018,学术论文,基于YOLO的车距保持辅助算法研究,国际/国内会议·第一作者,,第一作者,2025-06-17,,3.0,通过,李文静,佐证材料完整，予以通过
202300018,申请专利,一种多功能汽车后备箱收纳架,实用新型专利·第一发明人,,第一发明人,2026-02-17,,3.0,通过,李文静,符合认定条件，通过
202300018,其他实践活动,暑期高校科学营活动,学科冬夏令营·国家级,,,2025-08-17,,2.0,通过,李文静,佐证材料完整，予以通过
202300019,前沿学术报告,汽车百家讲坛,第11期以后·车载总线与嵌入式系统开发,,,2024-02-16,,0.25,通过,李文静,符合认定条件，通过
202300019,年度创新创业项目,校级·一般成员,氢燃料电池汽车散热性能仿真分析,,一般成员,2025-02-06,2026-06-30,1.0,通过,李文静,佐证材料完整，予以通过
202300019,科技创新竞赛,全国大学生节能减排社会实践与科技竞赛,,国家级·三等奖,第二完成人,2024-06-13,,1.4,通过,李文静,佐证材料完整，予以通过
202300019,创业实践,校内共享打印服务站,创业训练计划·负责人,,负责人,2025-05-14,,3.0,通过,李文静,佐证材料完整，予以通过
202300019,学术论文,汽车主动悬架半主动控制策略仿真,核心期刊·其他作者,,其他作者,2025-12-07,,1.0,通过,李文静,材料齐全，同意认定
202300019,申请专利,一种可调节角度的车载平板支架,实用新型专利·其他发明人,,其他发明人,2026-07-13,,1.5,通过,李文静,佐证材料完整，予以通过
202300019,其他实践活动,全国大学生汽车科技夏令营,技能资格培训·高级,,,2026-02-17,,1.5,通过,李文静,佐证材料完整，予以通过
202300020,前沿学术报告,名家学术讲座,单场·动力电池热管理关键技术,,,2026-03-03,,0.5,通过,李文静,符合认定条件，通过
202300020,年度创新创业项目,校级·核心成员,基于机器视觉的行人过街检测系统,,核心成员,2024-10-21,2026-06-30,1.5,通过,李文静,材料齐全，同意认定
202300020,科技创新竞赛,挑战杯全国大学生课外学术科技作品竞赛,,国家级·三等奖,负责人,2025-06-08,,2.0,通过,李文静,材料齐全，同意认定
202300020,创业实践,校园二手书流转平台,创业训练计划·团队成员,,团队成员,2025-12-15,,1.5,通过,李文静,符合认定条件，通过
202300020,学术论文,基于YOLO的车距保持辅助算法研究,普通期刊·第二作者,,第二作者,2025-04-03,,1.0,通过,李文静,佐证材料完整，予以通过
202300020,申请专利,一种多功能汽车后备箱收纳架,发明专利·第一发明人,,第一发明人,2025-11-18,,6.0,通过,李文静,符合认定条件，通过
202300020,其他实践活动,暑期高校科学营活动,技能资格培训·高级,,,2024-12-25,,1.5,通过,李文静,佐证材料完整，予以通过
202300021,前沿学术报告,汽车百家讲坛,第11期以后·智能制造与数字化工厂实践,,,2025-01-09,,0.25,通过,李文静,符合认定条件，通过
202300021,年度创新创业项目,省级·负责人,基于STM32的智能循迹小车,,负责人,2025-11-18,2026-06-30,4.0,通过,李文静,符合认定条件，通过
202300021,科技创新竞赛,全国大学生数学建模竞赛,,国家级·三等奖,第三完成人,2025-03-12,,1.0,通过,李文静,符合认定条件，通过
202300021,创业实践,智能驾培服务平台,入驻孵化器·团队成员,,团队成员,2025-04-23,,2.0,待审核,,
202300021,学术论文,燃料电池汽车氢气循环系统特性分析,国际/国内会议·第二作者,,第二作者,2026-04-18,,2.0,通过,李文静,符合认定条件，通过
202300021,申请专利,一种新能源汽车充电枪锁止机构,发明专利·其他发明人,,其他发明人,2026-06-11,,3.0,待审核,,
202300021,其他实践活动,德国亚琛工业大学线上交流项目,学术交流访问·境内交流,,,2026-06-15,,1.0,通过,李文静,佐证材料完整，予以通过
202300022,前沿学术报告,信息科学论坛,第1-5期·汽车轻量化设计与新材料应用,,,2025-07-21,,0.25,通过,李文静,符合认定条件，通过
202300022,年度创新创业项目,校级·负责人,基于STM32的智能循迹小车,,负责人,2025-10-08,2026-06-30,2.0,通过,李文静,佐证材料完整，予以通过
202300022,科技创新竞赛,山东省大学生机电产品创新设计竞赛,,校级·一等奖,负责人,2025-08-09,,1.0,待院长审批,李文静,初审通过，转院长审批
202300022,创业实践,二手车检测陪购服务工作室,注册成立公司·合伙人,,合伙人,2025-06-06,,4.0,通过,李文静,佐证材料完整，予以通过
202300022,学术论文,燃料电池汽车氢气循环系统特性分析,国际/国内会议·其他作者,,其他作者,2026-08-04,,1.0,通过,李文静,材料齐全，同意认定
202300022,申请专利,一种电动汽车电池包液冷结构,实用新型专利·第一发明人,,第一发明人,2025-06-15,,3.0,通过,李文静,佐证材料完整，予以通过
202300022,其他实践活动,汽车造型设计工作坊,技能资格培训·高级,,,2024-12-15,,1.5,待审核,,
202300023,前沿学术报告,名家学术讲座,单场·氢能及燃料电池汽车产业展望,,,2024-04-20,,0.5,通过,李文静,佐证材料完整，予以通过
202300023,年度创新创业项目,院级·核心成员,车载OBD数据采集与驾驶行为分析,,核心成员,2025-03-12,2026-06-30,0.5,通过,李文静,材料齐全，同意认定
202300023,科技创新竞赛,中国国际大学生创新大赛,,省级·一等奖,第三完成人,2026-02-06,,1.5,待审核,,
202300023,创业实践,大学生汽车文创工作室,入驻孵化器·团队成员,,团队成员,2025-08-19,,2.0,通过,李文静,佐证材料完整，予以通过
202300023,学术论文,汽车主动悬架半主动控制策略仿真,SCI/EI 收录·其他作者,,其他作者,2026-03-08,,2.0,通过,李文静,符合认定条件，通过
202300023,申请专利,一种新能源汽车充电枪锁止机构,实用新型专利·其他发明人,,其他发明人,2025-10-07,,1.5,待院长审批,李文静,初审通过，转院长审批
202300023,其他实践活动,暑期高校科学营活动,技能资格培训·中级,,,2026-08-18,,1.0,通过,李文静,佐证材料完整，予以通过
202300024,前沿学术报告,汽车百家讲坛,第1-5期·汽车空气动力学优化设计,,,2025-08-21,,0.25,通过,李文静,材料齐全，同意认定
202300024,年度创新创业项目,校级·一般成员,轮胎花纹与湿滑路面制动性能仿真,,一般成员,2024-12-17,2026-06-30,1.0,通过,李文静,佐证材料完整，予以通过
202300024,科技创新竞赛,挑战杯全国大学生课外学术科技作品竞赛,,国家级·二等奖,第二完成人,2026-02-17,,2.8,通过,李文静,符合认定条件，通过
202300024,创业实践,校园二手书流转平台,注册成立公司·合伙人,,合伙人,2026-06-13,,4.0,通过,李文静,材料齐全，同意认定
202300024,学术论文,基于多目标优化的车身结构轻量化设计,国际/国内会议·第二作者,,第二作者,2026-04-23,,2.0,通过,李文静,材料齐全，同意认定
202300024,申请专利,一种车载智能空气净化装置,外观设计专利·第一发明人,,第一发明人,2026-04-23,,2.0,通过,李文静,符合认定条件，通过
202300024,其他实践活动,汽车造型设计工作坊,学术交流访问·出境交流,,,2026-03-07,,2.0,通过,李文静,材料齐全，同意认定
202300025,前沿学术报告,名家学术讲座,单场·汽车轻量化设计与新材料应用,,,2026-06-09,,0.5,通过,李文静,材料齐全，同意认定
202300025,年度创新创业项目,院级·核心成员,新能源汽车电池热管理优化研究,,核心成员,2024-03-14,2026-06-30,0.5,通过,李文静,材料齐全，同意认定
202300025,科技创新竞赛,山东省大学生机电产品创新设计竞赛,,省级·三等奖,第三完成人,2024-02-18,,0.5,通过,李文静,材料齐全，同意认定
202300025,创业实践,二手车检测陪购服务工作室,创业训练计划·团队成员,,团队成员,2025-05-26,,1.5,通过,李文静,材料齐全，同意认定
202300025,学术论文,基于YOLO的车距保持辅助算法研究,核心期刊·第一作者,,第一作者,2026-03-12,,4.0,通过,李文静,材料齐全，同意认定
202300025,申请专利,一种电动汽车电池包液冷结构,外观设计专利·第一发明人,,第一发明人,2026-04-21,,2.0,通过,李文静,符合认定条件，通过
202300025,其他实践活动,汽车造型设计工作坊,技能资格培训·初级,,,2024-06-05,,0.5,待审核,,
202300026,前沿学术报告,汽车百家讲坛,第1-5期·车载总线与嵌入式系统开发,,,2026-07-28,,0.25,通过,李文静,符合认定条件，通过
202300026,年度创新创业项目,校级·核心成员,轮胎花纹与湿滑路面制动性能仿真,,核心成员,2024-03-02,2026-06-30,1.5,待审核,,
202300026,科技创新竞赛,全国大学生数学建模竞赛,,省级·三等奖,核心成员,2026-02-11,,0.6,通过,李文静,符合认定条件，通过
202300026,创业实践,校内共享打印服务站,创业训练计划·团队成员,,团队成员,2026-03-15,,1.5,通过,李文静,符合认定条件，通过
202300026,学术论文,电动汽车无线充电耦合机构优化设计,国际/国内会议·第一作者,,第一作者,2026-01-22,,3.0,通过,李文静,材料齐全，同意认定
202300026,申请专利,一种新能源汽车充电枪锁止机构,实用新型专利·其他发明人,,其他发明人,2025-05-17,,1.5,公示中,李文静,佐证材料完整，予以通过
202300026,其他实践活动,汽车造型设计工作坊,学术交流访问·出境交流,,,2024-05-18,,2.0,通过,李文静,符合认定条件，通过
202300027,前沿学术报告,汽车百家讲坛,第11期以后·智能网联汽车技术前沿,,,2026-07-15,,0.25,通过,李文静,符合认定条件，通过
202300027,年度创新创业项目,省级·负责人,基于深度学习的交通标志识别系统,,负责人,2024-10-09,2026-06-30,4.0,通过,李文静,佐证材料完整，予以通过
202300027,科技创新竞赛,全国大学生智能汽车竞赛,,省级·一等奖,第三完成人,2024-06-01,,1.5,公示中,李文静,符合认定条件，通过
202300027,创业实践,智能驾培服务平台,创业训练计划·负责人,,负责人,2026-08-21,,3.0,通过,李文静,材料齐全，同意认定
202300027,学术论文,汽车主动悬架半主动控制策略仿真,普通期刊·第一作者,,第一作者,2026-06-08,,2.0,通过,李文静,符合认定条件，通过
202300027,申请专利,一种电动汽车电池包液冷结构,实用新型专利·其他发明人,,其他发明人,2026-06-01,,1.5,通过,李文静,佐证材料完整，予以通过
202300027,其他实践活动,德国亚琛工业大学线上交流项目,学科冬夏令营·国家级,,,2024-12-12,,2.0,通过,李文静,佐证材料完整，予以通过
202300028,前沿学术报告,名家学术讲座,单场·无人驾驶环境感知技术进展,,,2026-06-12,,0.5,通过,李文静,材料齐全，同意认定
202300028,年度创新创业项目,校级·负责人,二手车价格预测模型构建,,负责人,2024-04-02,2026-06-30,2.0,待审核,,
202300028,科技创新竞赛,中国大学生方程式汽车大赛,,国家级·二等奖,负责人,2024-11-10,,4.0,通过,李文静,佐证材料完整，予以通过
202300028,创业实践,新能源汽车科普工作室,入驻孵化器·团队成员,,团队成员,2025-12-23,,2.0,通过,李文静,符合认定条件，通过
